sha8,band,aenderung,label,decision_alt,decision_neu,top1_alt,top1_neu,top1_korrekt_alt,top1_korrekt_neu,llr_margin_alt,llr_margin_neu,llr_margin_delta,max_z_alt,max_z_neu,max_z_delta,treiber_alt,treiber_z_alt,treiber_neu,treiber_z_neu,top3_neu,label_in_top3_neu,delta_status,delta_kategorie,delta_quelle,delta_fix_commit
03034e84,pass,kandidatenset,LOEFFEL-14,ambiguous,ambiguous,LOEFFEL-11,LOEFFEL-11,nein,nein,0.2195,0.2546,0.0351,1.0629,2.3579,1.295,hist_rim,1.0629,circularity,2.3579,LOEFFEL-11 LOEFFEL-14 LOEFFEL-13,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
039dec5e,pass,identisch,GABEL-2,accept,accept,GABEL-2,GABEL-2,ja,ja,4.3303,4.3303,0.0,1.2891,1.2891,0.0,solidity,1.2891,solidity,1.2891,GABEL-2 GABEL-1 MESSER-10,ja,-,,,
0adcdc0b,pass,identisch,LOEFFEL-2,ambiguous,ambiguous,LOEFFEL-2,LOEFFEL-2,ja,ja,0.6742,0.6742,0.0,1.7959,1.7959,0.0,delta_e_rim,1.7959,delta_e_rim,1.7959,LOEFFEL-2 LOEFFEL-5 LOEFFEL-6,ja,-,,,
0b695ec4,pass,kandidatenset,LOEFFEL-4,accept,accept,LOEFFEL-4,LOEFFEL-4,ja,ja,,5.0767,,2.0027,1.9331,-0.0696,hu_log,2.0027,hu_log,1.9331,LOEFFEL-4 LOEFFEL-5,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
0cb8f3c1,pass,score,LOEFFEL-15,accept,accept,LOEFFEL-15,LOEFFEL-15,ja,ja,2.3474,2.6163,0.2689,1.377,1.316,-0.061,diameter_mm,1.377,diameter_mm,1.316,LOEFFEL-15 LOEFFEL-9,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
0d539289,pass,kandidatenset,LOEFFEL-3,ambiguous,ambiguous,LOEFFEL-3,LOEFFEL-3,ja,ja,0.1748,1.4446,1.2698,0.8,0.798,-0.002,diameter_mm,0.8,hist_rim,0.798,LOEFFEL-3 LOEFFEL-1 LOEFFEL-6,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
10560c2f,pass,identisch,MESSER-7,ambiguous,ambiguous,MESSER-7,MESSER-7,ja,ja,0.1239,0.1239,0.0,1.7756,1.7756,0.0,hist_center,1.7756,hist_center,1.7756,MESSER-7 MESSER-5 MESSER-2,ja,-,,,
152de077,pass,identisch,GABEL-1,reject,reject,GABEL-1,GABEL-1,ja,ja,12.8221,12.8221,0.0,4.4936,4.4936,0.0,solidity,4.4936,solidity,4.4936,GABEL-1 GABEL-2 MESSER-7,ja,-,,,
1a48641b,pass,identisch,MESSER-5,ambiguous,ambiguous,MESSER-5,MESSER-5,ja,ja,0.0562,0.0562,0.0,1.4107,1.4107,0.0,hist_center,1.4107,hist_center,1.4107,MESSER-5 MESSER-7 MESSER-2,ja,-,,,
1ea08720,pass,score,LOEFFEL-8,accept,accept,LOEFFEL-8,LOEFFEL-8,ja,ja,,,,2.3701,2.1861,-0.184,hu_log,2.3701,hu_log,2.1861,LOEFFEL-8,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
2316b3e0,pass,score,LOEFFEL-7,accept,accept,LOEFFEL-7,LOEFFEL-7,ja,ja,,,,1.5182,1.3633,-0.1549,delta_e_center,1.5182,delta_e_center,1.3633,LOEFFEL-7,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
262f2338,pass,identisch,GABEL-4,ambiguous,ambiguous,GABEL-4,GABEL-4,ja,ja,0.1315,0.1315,0.0,1.1591,1.1591,0.0,diameter_mm,1.1591,diameter_mm,1.1591,GABEL-4 GABEL-7,ja,-,,,
2c88e15a,pass,kandidatenset,LOEFFEL-4,accept,accept,LOEFFEL-4,LOEFFEL-4,ja,ja,5.8807,3.4599,-2.4208,0.8855,0.8997,0.0142,hist_center,0.8855,hist_center,0.8997,LOEFFEL-4 LOEFFEL-5 LOEFFEL-2,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
2e6faa90,pass,identisch,MESSER-6,ambiguous,ambiguous,MESSER-6,MESSER-6,ja,ja,1.1124,1.1124,0.0,1.7597,1.7597,0.0,hist_center,1.7597,hist_center,1.7597,MESSER-6 MESSER-7 MESSER-5,ja,-,,,
33b888ab,pass,score,LOEFFEL-8,accept,accept,LOEFFEL-8,LOEFFEL-8,ja,ja,,,,1.7683,1.6954,-0.0729,diameter_mm,1.7683,diameter_mm,1.6954,LOEFFEL-8,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
340fea39,pass,kandidatenset,LOEFFEL-12,accept,accept,LOEFFEL-12,LOEFFEL-12,ja,ja,2.5519,14.8415,12.2896,1.9616,1.7495,-0.2121,delta_e_rim,1.9616,delta_e_rim,1.7495,LOEFFEL-12 LOEFFEL-3 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
3869c80d,pass,kandidatenset,LOEFFEL-11,ambiguous,ambiguous,LOEFFEL-11,LOEFFEL-11,ja,ja,0.087,1.2749,1.1879,1.1367,1.1541,0.0174,hist_rim,1.1367,hist_rim,1.1541,LOEFFEL-11 LOEFFEL-13 LOEFFEL-14,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
39cb6e0c,pass,kandidatenset,LOEFFEL-13,ambiguous,ambiguous,LOEFFEL-13,LOEFFEL-13,ja,ja,0.2146,1.3712,1.1566,2.1252,2.0481,-0.0771,hu_log,2.1252,hu_log,2.0481,LOEFFEL-13 LOEFFEL-11 LOEFFEL-14,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
3aae112e,pass,kandidatenset,LOEFFEL-15,accept,accept,LOEFFEL-15,LOEFFEL-15,ja,ja,4.3497,5.4739,1.1242,1.1141,1.1287,0.0146,hist_center,1.1141,hist_center,1.1287,LOEFFEL-15 LOEFFEL-13,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
41a471ce,pass,kandidatenset,LOEFFEL-12,accept,accept,LOEFFEL-12,LOEFFEL-12,ja,ja,2.3587,14.4102,12.0515,1.39,1.3429,-0.0471,diameter_mm,1.39,diameter_mm,1.3429,LOEFFEL-12 LOEFFEL-3 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
4276dbde,pass,kandidatenset,LOEFFEL-4,accept,accept,LOEFFEL-4,LOEFFEL-4,ja,ja,,4.8953,,1.4359,1.3649,-0.071,diameter_mm,1.4359,diameter_mm,1.3649,LOEFFEL-4 LOEFFEL-5,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
4587d1a8,pass,kandidatenset,LOEFFEL-3,ambiguous,ambiguous,LOEFFEL-4,LOEFFEL-4,nein,nein,0.4378,1.8366,1.3988,1.4821,1.5059,0.0238,hist_center,1.4821,hist_center,1.5059,LOEFFEL-4 LOEFFEL-3 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
46f9b1b3,pass,top1,LOEFFEL-14,ambiguous,ambiguous,LOEFFEL-11,LOEFFEL-14,nein,ja,0.4097,0.062,-0.3477,1.7081,3.1014,1.3933,hist_center,1.7081,hu_log,3.1014,LOEFFEL-14 LOEFFEL-11 LOEFFEL-13,ja,akzeptiert,b,2026-07-22-floors.json,19dca37c
49ba9d3f,pass,score,LOEFFEL-9,accept,accept,LOEFFEL-9,LOEFFEL-9,ja,ja,,,,0.5967,0.7032,0.1065,delta_e_center,0.5967,solidity,0.7032,LOEFFEL-9,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
4dd0d195,pass,identisch,MESSER-1,accept,accept,MESSER-1,MESSER-1,ja,ja,14.5955,14.5955,0.0,0.6626,0.6626,0.0,circularity,0.6626,circularity,0.6626,MESSER-1 MESSER-10 GABEL-1,ja,-,,,
4ee58415,pass,kandidatenset,LOEFFEL-2,ambiguous,ambiguous,LOEFFEL-2,LOEFFEL-2,ja,ja,0.1993,0.9304,0.7311,1.1392,1.0708,-0.0684,delta_e_rim,1.1392,hist_center,1.0708,LOEFFEL-2 LOEFFEL-5 LOEFFEL-6,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
4f08405b,pass,top1,LOEFFEL-1,ambiguous,ambiguous,LOEFFEL-5,LOEFFEL-1,nein,ja,0.659,0.9338,0.2748,3.0603,1.5677,-1.4926,delta_e_center,3.0603,diameter_mm,1.5677,LOEFFEL-1 LOEFFEL-5 LOEFFEL-6,ja,akzeptiert,b,2026-07-22-floors.json,19dca37c
5118f824,pass,score,LOEFFEL-10,accept,accept,LOEFFEL-10,LOEFFEL-10,ja,ja,,,,0.6055,0.6152,0.0097,hist_rim,0.6055,hist_rim,0.6152,LOEFFEL-10,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
51695897,pass,identisch,LOEFFEL-4,ambiguous,ambiguous,LOEFFEL-1,LOEFFEL-1,nein,nein,1.0475,1.0475,0.0,2.8687,2.8687,0.0,solidity,2.8687,solidity,2.8687,LOEFFEL-1 LOEFFEL-3 LOEFFEL-5,nein,-,,,
53a17205,pass,top1,LOEFFEL-11,ambiguous,ambiguous,LOEFFEL-13,LOEFFEL-11,nein,ja,0.0509,0.5885,0.5376,1.1658,0.8141,-0.3517,solidity,1.1658,solidity,0.8141,LOEFFEL-11 LOEFFEL-13 LOEFFEL-14,ja,akzeptiert,b,2026-07-22-floors.json,19dca37c
5747d120,pass,identisch,MESSER-7,ambiguous,ambiguous,MESSER-7,MESSER-7,ja,ja,0.572,0.572,0.0,1.8552,1.8552,0.0,hist_center,1.8552,hist_center,1.8552,MESSER-7 MESSER-5 MESSER-2,ja,-,,,
57e075d6,pass,kandidatenset,LOEFFEL-13,ambiguous,ambiguous,LOEFFEL-13,LOEFFEL-13,ja,ja,0.1908,1.5734,1.3826,1.0553,0.975,-0.0803,delta_e_center,1.0553,delta_e_center,0.975,LOEFFEL-13 LOEFFEL-11 LOEFFEL-14,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
57ea3daa,pass,score,LOEFFEL-9,accept,accept,LOEFFEL-9,LOEFFEL-9,ja,ja,,,,0.9769,0.997,0.0201,hist_rim,0.9769,hist_rim,0.997,LOEFFEL-9,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
5b64e610,pass,identisch,GABEL-3,ambiguous,ambiguous,GABEL-3,GABEL-3,ja,ja,0.8354,0.8354,0.0,1.1549,1.1549,0.0,hist_center,1.1549,hist_center,1.1549,GABEL-3 GABEL-4 GABEL-7,ja,-,,,
5ba3f2dd,pass,identisch,LOEFFEL-4,accept,accept,LOEFFEL-4,LOEFFEL-4,ja,ja,4.6422,4.6422,0.0,1.5313,1.5313,0.0,delta_e_center,1.5313,delta_e_center,1.5313,LOEFFEL-4 LOEFFEL-5 LOEFFEL-2,ja,-,,,
5bf6b431,pass,identisch,GABEL-1,reject,reject,GABEL-1,GABEL-1,ja,ja,95.0315,95.0315,0.0,4.2543,4.2543,0.0,delta_e_center,4.2543,delta_e_center,4.2543,GABEL-1 MESSER-7 MESSER-6,ja,-,,,
5db55def,pass,kandidatenset,LOEFFEL-5,ambiguous,ambiguous,LOEFFEL-5,LOEFFEL-5,ja,ja,1.2276,1.2053,-0.0223,0.7552,0.7702,0.015,hist_center,0.7552,hist_center,0.7702,LOEFFEL-5 LOEFFEL-2 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
5e952338,pass,kandidatenset,LOEFFEL-1,ambiguous,ambiguous,LOEFFEL-1,LOEFFEL-1,ja,ja,0.2955,0.8601,0.5646,1.039,1.0048,-0.0342,diameter_mm,1.039,diameter_mm,1.0048,LOEFFEL-1 LOEFFEL-5 LOEFFEL-6,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
6039e5d8,pass,identisch,LOEFFEL-2,ambiguous,ambiguous,LOEFFEL-2,LOEFFEL-2,ja,ja,0.5095,0.5095,0.0,1.9131,1.9131,0.0,delta_e_rim,1.9131,delta_e_rim,1.9131,LOEFFEL-2 LOEFFEL-5 LOEFFEL-6,ja,-,,,
645eaac1,pass,identisch,LOEFFEL-14,accept,accept,LOEFFEL-14,LOEFFEL-14,ja,ja,42.745,42.745,0.0,1.2045,1.2045,0.0,delta_e_center,1.2045,delta_e_center,1.2045,LOEFFEL-14 GABEL-11,ja,-,,,
69287856,pass,kandidatenset,LOEFFEL-12,accept,accept,LOEFFEL-12,LOEFFEL-12,ja,ja,2.1038,12.8127,10.7089,1.3481,1.3702,0.0221,hist_center,1.3481,hist_center,1.3702,LOEFFEL-12 LOEFFEL-3 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
6aae2d57,pass,identisch,MESSER-6,ambiguous,ambiguous,MESSER-6,MESSER-6,ja,ja,0.6234,0.6234,0.0,1.5973,1.5973,0.0,hist_center,1.5973,hist_center,1.5973,MESSER-6 MESSER-7 MESSER-5,ja,-,,,
6d6781ff,pass,identisch,MESSER-2,ambiguous,ambiguous,MESSER-2,MESSER-2,ja,ja,0.1567,0.1567,0.0,1.2625,1.2625,0.0,hist_center,1.2625,hist_center,1.2625,MESSER-2 MESSER-5 MESSER-7,ja,-,,,
70984ff0,pass,score,LOEFFEL-7,accept,accept,LOEFFEL-7,LOEFFEL-7,ja,ja,,,,2.2417,2.0399,-0.2018,delta_e_rim,2.2417,delta_e_rim,2.0399,LOEFFEL-7,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
72352211,pass,identisch,MESSER-11,accept,accept,MESSER-11,MESSER-11,ja,ja,12.71,12.71,0.0,1.7568,1.7568,0.0,hist_center,1.7568,hist_center,1.7568,MESSER-11 MESSER-7 MESSER-2,ja,-,,,
73f7ede8,pass,identisch,GABEL-2,accept,accept,GABEL-2,GABEL-2,ja,ja,2.757,2.757,0.0,1.0374,1.0374,0.0,diameter_mm,1.0374,diameter_mm,1.0374,GABEL-2 GABEL-1 LOEFFEL-8,ja,-,,,
74cc2751,pass,identisch,GABEL-2,accept,accept,GABEL-2,GABEL-2,ja,ja,3.3498,3.3498,0.0,1.1075,1.1075,0.0,diameter_mm,1.1075,diameter_mm,1.1075,GABEL-2 GABEL-1 MESSER-10,ja,-,,,
7d253afe,pass,kandidatenset,LOEFFEL-1,ambiguous,ambiguous,LOEFFEL-1,LOEFFEL-1,ja,ja,0.5487,1.1935,0.6448,0.8834,0.8888,0.0054,hu_log,0.8834,hist_rim,0.8888,LOEFFEL-1 LOEFFEL-6 LOEFFEL-5,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
7ffd971a,pass,kandidatenset,LOEFFEL-2,ambiguous,ambiguous,LOEFFEL-2,LOEFFEL-2,ja,ja,0.3279,0.9979,0.67,1.1064,1.0852,-0.0212,hu_log,1.1064,hu_log,1.0852,LOEFFEL-2 LOEFFEL-5 LOEFFEL-1,ja,akzeptiert,c,2026-07-22-floors.json,19dca37c
82cf53e1,pass,identisch,LOEFFEL-14,ambiguous,ambiguous,LOEFFEL-11,LOEFFEL-11,nein,nein,0.1425,0.1425,0.0,1.9512,1.9512,0.0,solidity,1.9512,solidity,1.9512,LOEFFEL-11 LOEFFEL-14 LOEFFEL-13,ja,-,,,
8398cfec,pass,identisch,GABEL-2,accept,accept,GABEL-2,GABEL-2,ja,ja,4.4056,4.4056,0.0,0.9229,0.9229,0.0,hu_log,0.9229,hu_log,0.9229,GABEL-2 GABEL-1 MESSER-7,ja,-,,,
